[ 2025-08-26 20:44:56,166 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-26 20:45:06,120 ] 74 root - INFO - Performed train test split on the dataframe
[ 2025-08-26 20:45:06,120 ] 76 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-26 20:45:06,122 ] 84 root - INFO - Exporting train and test file path.
[ 2025-08-26 20:45:06,372 ] 93 root - INFO - Exported train and test file path.
[ 2025-08-26 20:45:06,374 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-26 20:45:06,399 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-26 20:45:06,694 ] 33 root - INFO - Required number of columns:2
[ 2025-08-26 20:45:06,710 ] 34 root - INFO - Data frame has columns:31
[ 2025-08-26 20:45:06,710 ] 33 root - INFO - Required number of columns:2
[ 2025-08-26 20:45:06,711 ] 34 root - INFO - Data frame has columns:31
[ 2025-08-26 20:45:07,531 ] 28 root - INFO - data Validation Completed
[ 2025-08-26 20:45:07,534 ] 31 root - INFO - data Transformation started
[ 2025-08-26 20:45:07,537 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-26 20:45:07,539 ] 65 root - INFO - Starting data transformation
[ 2025-08-26 20:45:07,680 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-26 20:45:07,681 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-26 20:45:07,734 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-26 20:45:07,745 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-26 20:45:07,746 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-26 20:45:07,758 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-26 20:45:07,762 ] 35 root - INFO - data Transformation completed
[ 2025-08-26 20:45:07,762 ] 37 root - INFO - Model Training sstared
[ 2025-08-26 20:52:37,520 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-26 20:52:37,522 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-26 20:52:37,522 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-26 20:52:37,559 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-26 20:52:37,560 ] 126 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_26_2025_20_44_51\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911863033127343, precision_score=0.9906844876468206, recall_score=0.9916886276099737), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.973630831643002, precision_score=0.9669621273166801, recall_score=0.9803921568627451))
[ 2025-08-26 20:52:37,563 ] 42 root - INFO - Model Training artifact created
